Address,Employment_Status,Rent_vs_Own,Household_Size,Average_Age_of_Residents,Median_Household_Income
51 Lab Street,Full-Time,Rent,4,59,47002.78883
167 Manor Row,Full-Time,Rent,4,47,46930.96572
185 Chestnut Mews,Full-Time,Own,1,40,43605.33456
29 Chancellor Road,Unemployed,Rent,1,45,8823.283438
117 Lab Street,Part-Time,Rent,5,25,32091.36712
13 Cross Keys Way,Full-Time,Own,4,49,58436.85286
171 Chancellor Road,Full-Time,Rent,5,40,41086.2
50 College Crescent,Full-Time,Own,4,57,49847.6474
183 Market Lane,Full-Time,Own,5,49,59123.18055
158 The Green,Full-Time,Rent,3,46,50704.96984
169 Library Lane,Unemployed,Rent,4,27,9693.337605
12 Varsity Place,Part-Time,Own,2,27,27484.48564
77 Faculty Court,Unemployed,Rent,5,35,11017.89962
53 Cross Keys Way,Full-Time,Rent,3,29,57904.71919
42 Library Lane,Full-Time,Rent,3,49,59796.91766
118 Parliament Street,Full-Time,Own,1,40,46176.54339
77 Lecture Hall Lane,Full-Time,Rent,5,53,54472.7534
172 George Square,Full-Time,Own,3,30,56616.78909
153 Station Road,Full-Time,Own,3,46,57457.68637
119 Dean’s View,Full-Time,Rent,1,33,52083.77742
75 Lab Street,Unemployed,Rent,1,34,11841.33023
98 Juniper Walk,Full-Time,Rent,4,38,42241.8229
154 Willow Heights,Part-Time,Rent,6,44,27695.60087
50 Varsity Place,Unemployed,Rent,2,29,9198.795395
26 Parliament Street,Part-Time,Rent,3,31,28785.63538
51 Crown Street,Retired,Rent,1,38,27508.82425
52 Parliament Street,Full-Time,Own,3,39,40404.64693
51 The Green,Full-Time,Own,6,41,40347.21329
196 Clock Tower Road,Full-Time,Own,1,44,42745.0742
144 Bluebell View,Full-Time,Rent,5,40,43715.10203
163 Chancellor Road,Unemployed,Rent,6,45,11956.64314
187 Willow Heights,Part-Time,Rent,4,35,27095.2728
84 Market Cross Road,Full-Time,Own,3,28,49149.51973
183 Professor’s Close,Unemployed,Rent,1,26,11721.9343
77 Manor Row,Full-Time,Own,6,26,40942.08166
199 Exam Square,Full-Time,Own,4,51,58046.42992
155 Old Forge Lane,Retired,Own,1,55,22002.96774
96 Town Gate,Full-Time,Own,4,32,58178.24215
164 Seminar Terrace,Unemployed,Rent,2,32,9322.665309
39 Market Lane,Part-Time,Rent,3,29,29721.51571
57 Union Street,Retired,Rent,1,46,27109.55562
114 Sycamore Way,Full-Time,Rent,2,29,54863.30137
103 Academic Crescent,Retired,Rent,1,30,20340.2999
46 Primrose Avenue,Full-Time,Own,4,31,40389.07467
187 Market Cross Road,Full-Time,Rent,3,42,46433.39854
54 Crown Street,Full-Time,Own,1,49,50231.67356
12 Willow Heights,Full-Time,Own,4,27,57467.59895
150 Bluebell View,Retired,Own,1,49,21809.53157
84 Grand Arcade,Part-Time,Own,6,45,28472.09669
96 Butcher’s Row,Full-Time,Own,5,55,48707.95011
20 Juniper Walk,Full-Time,Own,1,40,49754.19266
70 Bluebell View,Full-Time,Rent,6,46,54096.95343
104 Faculty Court,Full-Time,Own,5,36,42581.6446
181 Merchant Street,Part-Time,Own,2,25,29642.4423
118 Exam Square,Unemployed,Rent,3,50,11939.31104
102 Cross Keys Way,Full-Time,Rent,1,34,51982.94774
38 Abbey Lane,Full-Time,Own,6,49,56971.86741
173 Poppy Crescent,Part-Time,Own,1,49,34676.75234
144 College Road,Full-Time,Own,4,28,41420.79235
153 Chancellor Road,Unemployed,Rent,3,42,9923.717411
52 Faculty Court,Unemployed,Rent,2,32,11847.45519
122 Chestnut Mews,Full-Time,Rent,2,31,42985.16119
184 Albert Walk,Full-Time,Rent,6,41,43768.68333
78 Seminar Terrace,Full-Time,Own,2,30,50121.14697
53 Primrose Avenue,Full-Time,Own,2,45,42663.39532
5 Varsity Place,Unemployed,Rent,1,26,11439.60461
13 Aspen Gardens,Full-Time,Own,1,37,55255.6603
96 Rosehip Road,Retired,Own,2,37,24052.22881
121 Cedar Crescent,Full-Time,Own,3,53,52938.61155
114 Exam Square,Unemployed,Rent,2,29,9308.264978
102 The Green,Part-Time,Own,3,50,24757.99611
58 College Crescent,Full-Time,Own,2,56,55496.66864
164 Silverleaf Way,Full-Time,Own,6,42,59433.54799
50 Freshers Row,Unemployed,Rent,6,41,9143.813025
156 Alumni Grove,Unemployed,Rent,4,44,9150.533786
130 King Street,Full-Time,Rent,5,39,44130.84508
160 Cedar Crescent,Full-Time,Own,2,39,48531.75236
39 Chancellor Road,Unemployed,Rent,2,28,9502.864596
134 Stable Mews,Retired,Own,2,33,28848.77012
47 Dean’s View,Unemployed,Rent,2,57,11161.10119
45 Heritage Close,Part-Time,Rent,1,34,34566.74762
10 Primrose Avenue,Retired,Own,1,25,29194.77751
103 Primrose Avenue,Full-Time,Own,6,33,53584.82383
99 Dean’s View,Full-Time,Own,4,46,52866.73622
35 Cobbler’s Alley,Full-Time,Own,1,50,49322.82684
138 Castle View,Retired,Own,2,59,20829.21394
171 Varsity Place,Unemployed,Rent,1,57,9785.1126
112 Castle Lane,Full-Time,Own,6,34,47251.58483
165 Freshers Row,Full-Time,Own,2,43,47568.56791
152 Town Gate,Full-Time,Rent,4,28,50028.60618
157 Freshers Row,Unemployed,Rent,4,43,10109.19408
86 Poppy Crescent,Full-Time,Own,2,31,44320.05567
140 Juniper Walk,Retired,Rent,1,36,22748.17284
188 Professor’s Close,Full-Time,Rent,4,51,44063.88484
26 Oak Lane,Part-Time,Rent,2,56,32836.74153
81 Pillory Hill,Full-Time,Own,3,51,59287.69289
170 Seminar Terrace,Full-Time,Rent,5,45,44894.83377
160 The Old Yard,Full-Time,Rent,6,29,57273.25543
160 Cross Keys Way,Full-Time,Own,6,43,54604.81764
32 Union Street,Full-Time,Rent,1,31,46124.00622
105 King Street,Part-Time,Own,4,38,30299.07717
12 Union Street,Part-Time,Own,5,33,31319.72156
137 Poppy Crescent,Full-Time,Own,2,33,55428.64862
32 Cathedral Row,Part-Time,Own,4,29,30532.29413
50 The Old Yard,Part-Time,Rent,5,33,31868.87373
167 Freshers Row,Full-Time,Own,6,54,46410.38701
133 Scholar’s Walk,Part-Time,Rent,6,38,25479.62734
71 Chancellor Road,Unemployed,Rent,1,27,8240.360855
105 Faculty Court,Unemployed,Rent,6,48,9167.314763
107 College Road,Full-Time,Own,5,52,53355.53054
31 Market Cross Road,Part-Time,Own,3,35,25069.2891
8 Research Boulevard,Unemployed,Rent,4,41,10955.49121
109 Church Road,Full-Time,Rent,1,42,48144.87273
36 Dean’s View,Full-Time,Own,1,41,49362.31774
169 Professor’s Close,Full-Time,Rent,1,49,44260.4899
11 Crown Street,Full-Time,Rent,3,38,53945.73875
124 Merchant Street,Full-Time,Own,5,45,59409.65741
100 The Old Yard,Full-Time,Own,1,35,48021.67755
151 Stable Mews,Full-Time,Own,3,51,42311.1482
132 School House Lane,Full-Time,Rent,4,28,40342.86644
108 Chapel Walk,Full-Time,Rent,4,58,57323.46126
174 Campus Avenue,Full-Time,Own,2,31,54106.27322
37 Academic Crescent,Unemployed,Rent,3,42,11385.56669
157 Magnolia Row,Full-Time,Own,1,43,47853.43849
164 Church Road,Part-Time,Own,6,42,31599.56462
184 Victoria Parade,Full-Time,Own,3,39,47757.04569
57 The Green,Full-Time,Rent,3,35,46572.97233
192 Dean’s View,Retired,Own,2,36,25903.25115
45 Juniper Walk,Part-Time,Own,2,59,26621.58749
168 Victoria Parade,Full-Time,Rent,3,36,54579.64521
129 Market Lane,Part-Time,Rent,1,40,31604.50144
6 Lavender Park,Full-Time,Own,6,52,48129.52706
104 Professor’s Close,Unemployed,Rent,2,54,9141.103538
76 Primrose Avenue,Full-Time,Own,4,40,47195.00398
176 Graduation Way,Unemployed,Rent,3,40,9245.745748
189 Cedar Crescent,Full-Time,Rent,6,44,47226.47586
138 Lab Street,Part-Time,Rent,5,33,24191.10498
75 Campus Avenue,Retired,Own,1,29,23403.4854
123 Chapel Walk,Full-Time,Own,6,55,50816.34097
128 Cedar Crescent,Full-Time,Rent,3,42,49648.17505
99 Chestnut Mews,Part-Time,Own,5,46,25694.27345
8 Castle Lane,Full-Time,Own,4,26,58939.06975
96 Lecture Hall Lane,Part-Time,Rent,3,27,26213.12623
95 Magnolia Row,Part-Time,Rent,5,52,30935.1716
3 Market Lane,Full-Time,Rent,6,35,47426.80783
30 Heritage Close,Part-Time,Rent,1,34,32079.88912
175 Chestnut Mews,Full-Time,Rent,1,44,48714.76056
67 Cedar Crescent,Retired,Own,1,55,20410.11132
149 George Square,Full-Time,Rent,6,46,52676.12525
75 Freshers Row,Unemployed,Rent,3,42,11702.70704
53 Lab Street,Full-Time,Rent,6,36,57390.59983
40 Union Street,Part-Time,Own,5,39,27939.54822
74 Seminar Terrace,Full-Time,Rent,4,58,46502.67438
116 Birch Grove,Full-Time,Rent,4,52,51752.5066
68 Queen Avenue,Full-Time,Own,6,39,43933.46438
150 Alumni Grove,Full-Time,Rent,6,59,52553.84529
11 Poppy Crescent,Full-Time,Own,5,41,56023.49105
16 Campus Avenue,Full-Time,Own,2,35,44070.45659
171 Stable Mews,Retired,Own,1,50,29579.29554
156 Rosehip Road,Full-Time,Own,2,53,50064.62592
102 Exam Square,Unemployed,Rent,4,49,8870.774737
128 Varsity Place,Full-Time,Rent,4,28,41338.30208
81 Market Cross Road,Full-Time,Own,4,51,45730.13045
111 The Old Yard,Full-Time,Rent,4,46,49468.91774
81 Lecture Hall Lane,Part-Time,Rent,4,48,29742.67207
87 Professor’s Close,Full-Time,Own,3,43,44088.96773
26 Dean’s View,Unemployed,Rent,3,51,9032.967383
83 Lecture Hall Lane,Retired,Own,1,43,26783.05644
126 Campus Avenue,Full-Time,Own,3,37,55496.44309
4 Clock Tower Road,Full-Time,Rent,6,55,42155.42327
108 King Street,Full-Time,Own,3,26,53318.40529
92 Professor’s Close,Full-Time,Own,6,51,58326.55495
146 Market Lane,Full-Time,Own,2,32,40704.25422
131 Bluebell View,Retired,Rent,2,36,26130.82626
46 Lab Street,Unemployed,Rent,6,53,10330.64542
28 Lavender Park,Retired,Own,1,53,22357.72725
52 Church Road,Full-Time,Rent,2,46,56495.23724
12 Market Cross Road,Full-Time,Own,5,54,40131.01987
164 Dean’s View,Full-Time,Own,2,33,58582.82774
149 Manor Row,Full-Time,Own,2,29,51962.13112
191 Blossom Rise,Part-Time,Rent,3,37,29891.88023
27 Study Mews,Unemployed,Rent,1,26,10960.54412
183 Grand Arcade,Full-Time,Rent,6,57,58843.94968
79 Cedar Crescent,Full-Time,Own,3,28,56437.1702
37 Scholar’s Walk,Full-Time,Rent,5,34,51355.55185
60 Pillory Hill,Part-Time,Own,1,57,25512.64376
15 Maple Drive,Part-Time,Own,6,26,28568.08267
166 Church Road,Full-Time,Own,6,36,57461.48739
135 Seminar Terrace,Full-Time,Own,5,40,57024.25687
68 Chancellor Road,Unemployed,Rent,5,59,9678.897979
50 Lecture Hall Lane,Unemployed,Rent,6,33,9892.475612
155 Union Street,Full-Time,Own,2,27,53685.84319
92 Lavender Park,Full-Time,Rent,2,52,48786.37089
128 High Street,Full-Time,Own,2,40,41789.75943
43 Cross Keys Way,Full-Time,Rent,2,43,54590.75597
124 The Green,Full-Time,Own,1,35,52999.67052
64 Exchange Place,Part-Time,Own,6,55,26384.00881
49 Station Road,Full-Time,Own,3,25,56055.79871
82 Albert Walk,Full-Time,Rent,1,54,56331.06858
100 Lavender Park,Full-Time,Own,2,45,44941.10234
186 Ivy Boulevard,Full-Time,Rent,4,39,42827.81845
152 Stable Mews,Full-Time,Own,5,40,43925.31374
86 Oak Lane,Full-Time,Own,6,28,49864.10136
8 Cedar Crescent,Full-Time,Rent,2,48,46386.55314
129 Scholar’s Walk,Full-Time,Rent,2,47,53467.69695
46 The Green,Retired,Rent,1,41,25212.53437
72 Castle View,Part-Time,Rent,3,59,32054.0545
31 Parliament Street,Full-Time,Rent,1,50,44416.14111
171 Scholar’s Walk,Full-Time,Own,6,59,51823.3845
136 Prince’s Gate,Full-Time,Own,5,39,57663.81855
195 Chestnut Mews,Full-Time,Rent,6,39,51673.46872
132 Church Road,Full-Time,Rent,1,51,53776.62498
150 Rosehip Road,Full-Time,Rent,6,32,59004.92188
107 Cedar Crescent,Full-Time,Own,2,39,57729.34941
160 Dean’s View,Part-Time,Own,4,28,33795.37756
145 Castle View,Retired,Rent,1,25,29800.27922
12 Friar’s Court,Full-Time,Rent,3,49,55775.08159
139 Dean’s View,Retired,Own,2,59,21286.86555
15 Faculty Court,Full-Time,Own,4,32,52404.31025
5 Seminar Terrace,Full-Time,Rent,5,41,53055.56732
70 Varsity Place,Retired,Own,1,52,21474.18022
43 Market Cross Road,Full-Time,Rent,5,30,51101.3174
24 Church Road,Full-Time,Rent,2,30,58463.32919
49 Ivy Boulevard,Full-Time,Own,1,25,45908.39
2 Maple Drive,Full-Time,Own,2,27,56148.61884
191 Cedar Crescent,Retired,Own,2,33,26434.83172
138 Abbey Lane,Full-Time,Own,3,39,53490.75181
76 Clock Tower Road,Retired,Rent,2,44,22995.2273
51 Aspen Gardens,Full-Time,Rent,5,40,55140.6858
148 Clock Tower Road,Full-Time,Own,2,34,52733.88186
90 Victoria Parade,Full-Time,Own,2,38,50481.88463
141 Exchange Place,Full-Time,Own,5,40,49810.75251
172 Faculty Court,Full-Time,Rent,1,39,46138.15417
66 Manor Row,Part-Time,Rent,1,50,26425.66945
188 Bell Tower Street,Full-Time,Own,2,34,55341.91849
192 College Road,Unemployed,Rent,2,36,8797.954569
47 College Road,Unemployed,Rent,1,38,8669.516849
64 Chapel Walk,Full-Time,Rent,4,49,57023.70533
188 Seminar Terrace,Unemployed,Rent,4,54,8319.821839
160 Scholar’s Walk,Unemployed,Rent,3,54,8613.44902
128 Albert Walk,Part-Time,Rent,2,59,25092.74103
103 Mill Street,Full-Time,Rent,1,39,59163.72345
38 Chancellor Road,Full-Time,Own,5,55,42096.71789
130 Varsity Place,Unemployed,Rent,5,42,8023.95869
38 Manor Row,Full-Time,Rent,4,31,52248.28883
177 Church Road,Full-Time,Rent,1,27,54269.85402
190 Bridge Street,Full-Time,Own,4,29,43553.48331
74 Sycamore Way,Full-Time,Rent,4,49,46976.10238
134 Study Mews,Full-Time,Rent,2,40,46196.0044
8 Queen Avenue,Full-Time,Own,2,39,54477.23998
169 Cross Keys Way,Full-Time,Own,1,44,47882.10196
115 Market Cross Road,Full-Time,Own,3,46,50571.68977
150 Primrose Avenue,Full-Time,Rent,2,59,55528.40619
86 Sycamore Way,Full-Time,Own,3,51,49865.23839
107 Research Boulevard,Unemployed,Rent,4,36,10902.42309
195 High Street,Full-Time,Own,6,57,51332.0487
89 Research Boulevard,Full-Time,Own,4,48,54254.16364
189 Magnolia Row,Full-Time,Own,1,50,41814.11142
77 Alumni Grove,Unemployed,Rent,1,58,11912.87645
94 Faculty Court,Full-Time,Rent,6,37,41739.32015
28 Cobbler’s Alley,Full-Time,Own,4,52,52722.14334
33 Stable Mews,Part-Time,Rent,3,44,24277.59982
64 Research Boulevard,Full-Time,Rent,3,32,50342.36958
28 Castle Lane,Full-Time,Rent,4,40,41920.41699
73 Scholar’s Walk,Full-Time,Rent,5,58,41799.86291
197 Blossom Rise,Full-Time,Own,5,56,45698.38778
54 Union Street,Part-Time,Rent,3,54,26899.56864
7 Dahlia Court,Full-Time,Own,5,59,42736.37479
172 Lavender Park,Part-Time,Rent,6,40,30950.41447
51 College Road,Full-Time,Rent,6,33,57708.04828
38 Seminar Terrace,Full-Time,Rent,2,55,58348.57244
113 Cedar Crescent,Full-Time,Own,1,43,45807.98056
74 Castle View,Full-Time,Own,1,58,57291.46182
190 Union Street,Full-Time,Rent,5,40,59350.29548
63 Victoria Parade,Part-Time,Own,4,48,27745.98957
15 Sycamore Way,Retired,Rent,1,40,29371.92666
94 Church Road,Full-Time,Rent,6,39,48520.5842
147 Varsity Place,Full-Time,Rent,4,55,49280.92721
123 College Road,Full-Time,Own,6,31,49607.9121
10 Graduation Way,Unemployed,Rent,4,39,10924.53618
175 Exchange Place,Retired,Own,2,26,22606.30247
199 Research Boulevard,Unemployed,Rent,2,46,8961.402378
92 Lecture Hall Lane,Full-Time,Own,2,48,52590.44644
34 Victoria Parade,Retired,Rent,1,49,25576.01257
98 Poppy Crescent,Full-Time,Own,4,36,41420.8762
113 George Square,Full-Time,Rent,6,38,58050.31778
135 Oak Lane,Full-Time,Own,5,58,45813.26991
15 Research Boulevard,Unemployed,Rent,1,44,11003.87152
163 Academic Crescent,Unemployed,Rent,6,38,10313.67323
105 College Road,Unemployed,Rent,3,42,10288.92257
150 Varsity Place,Unemployed,Rent,5,59,11434.91076
100 Varsity Place,Full-Time,Own,2,41,57609.01413
99 Library Lane,Unemployed,Rent,2,47,10240.67174
191 Exchange Place,Full-Time,Rent,2,46,48568.3574
150 Birch Grove,Full-Time,Own,1,55,52401.36147
145 Aspen Gardens,Full-Time,Own,3,53,42393.22685
187 Parliament Street,Retired,Own,2,49,24200.25741
168 Chapel Walk,Retired,Own,1,56,26619.60001
53 Exchange Place,Full-Time,Own,4,55,55260.41681
91 Old Forge Lane,Full-Time,Own,2,30,54425.9655
78 Pillory Hill,Full-Time,Own,3,41,43492.33215
104 Queen Avenue,Full-Time,Rent,5,55,52230.88242
199 Albert Walk,Full-Time,Own,4,45,41806.57003
93 Clock Tower Road,Full-Time,Own,5,26,51919.91952
162 School House Lane,Full-Time,Own,6,31,54918.67896
106 College Road,Part-Time,Rent,5,51,31576.63391
122 Faculty Court,Full-Time,Own,6,46,52498.28453
189 Castle Lane,Part-Time,Rent,6,28,31837.63647
115 Bridge Street,Full-Time,Own,4,51,48361.08866
109 Academic Crescent,Unemployed,Rent,5,56,9539.964389
35 Silverleaf Way,Part-Time,Rent,5,45,29339.40127
71 Silverleaf Way,Part-Time,Own,6,59,26535.81535
170 Merchant Street,Full-Time,Rent,6,33,49076.62584
130 Academic Crescent,Full-Time,Rent,5,52,58091.62494
32 Faculty Court,Retired,Own,1,34,22907.3249
67 Exchange Place,Full-Time,Own,6,47,48621.43046
15 Crown Street,Full-Time,Own,3,48,52919.98223
168 Graduation Way,Unemployed,Rent,2,28,11068.79473
4 Chapel Walk,Full-Time,Own,1,41,40181.6102
195 Union Street,Full-Time,Rent,5,48,53281.54262
67 Aspen Gardens,Full-Time,Own,1,25,42867.98207
116 Lecture Hall Lane,Full-Time,Rent,1,26,54878.19708
58 The Green,Full-Time,Own,3,30,42718.86292
10 Faculty Court,Full-Time,Own,3,38,55001.94881
131 Town Gate,Full-Time,Own,5,45,58914.93387
195 Lab Street,Unemployed,Rent,6,49,8894.175519
176 Birch Grove,Retired,Own,2,32,20087.29209
39 Birch Grove,Part-Time,Own,3,51,25330.98318
43 Town Gate,Full-Time,Rent,3,38,58386.3625
67 Seminar Terrace,Unemployed,Rent,1,28,9881.500482
46 Birch Grove,Full-Time,Rent,3,32,50753.24683
78 Chapel Walk,Full-Time,Own,4,51,43061.68573
153 Parliament Street,Full-Time,Own,3,43,59741.7374
122 Chancellor Road,Unemployed,Rent,5,54,8729.955751
27 Alumni Grove,Full-Time,Own,5,52,52045.06602
101 Lab Street,Retired,Rent,1,51,25694.18292
187 Lab Street,Unemployed,Rent,2,27,8261.619308
117 Merchant Street,Full-Time,Rent,1,52,59928.79654
94 Lavender Park,Part-Time,Rent,6,43,30600.67334
94 Old Forge Lane,Full-Time,Own,5,51,43111.39064
179 Bluebell View,Full-Time,Own,2,47,55096.09309
29 Station Road,Full-Time,Own,1,43,47848.65927
100 Faculty Court,Unemployed,Rent,2,37,10680.40425
140 Academic Crescent,Unemployed,Rent,3,54,8893.728091
140 Seminar Terrace,Part-Time,Rent,4,32,35067.19176
172 Blossom Rise,Full-Time,Rent,2,53,40818.79191
165 Old Forge Lane,Full-Time,Own,3,30,40404.72648
112 Union Street,Full-Time,Own,4,41,57296.6493
67 Bluebell View,Retired,Own,2,53,25441.97733
168 Town Gate,Part-Time,Rent,5,26,28098.02802
46 Chapel Walk,Part-Time,Own,4,57,25693.73221
92 Study Mews,Unemployed,Rent,6,59,8239.259218
187 Research Boulevard,Part-Time,Own,6,55,27545.93969
96 Library Lane,Part-Time,Rent,3,36,33732.69923
3 Heritage Close,Full-Time,Own,5,55,43849.87637
55 Bell Tower Street,Full-Time,Rent,3,50,59589.55244
140 Alumni Grove,Unemployed,Rent,6,56,11166.41467
9 Bluebell View,Full-Time,Own,2,27,40236.04649
196 Varsity Place,Unemployed,Rent,3,44,10198.70503
173 Exam Square,Unemployed,Rent,1,26,9583.445262
120 Graduation Way,Unemployed,Rent,3,37,9776.091317
143 Albert Walk,Full-Time,Own,3,53,48871.03704
27 Castle Lane,Full-Time,Own,5,30,57022.98038
117 Campus Avenue,Full-Time,Rent,3,32,53712.57402
129 Lecture Hall Lane,Unemployed,Rent,4,50,9162.775679
187 Lecture Hall Lane,Unemployed,Rent,3,34,10062.49607
41 Grand Arcade,Full-Time,Own,6,25,49739.61259
142 Butcher’s Row,Full-Time,Own,2,26,45742.07977
37 Study Mews,Unemployed,Rent,1,59,10481.95917
116 Silverleaf Way,Full-Time,Own,1,25,52633.2819
121 High Street,Retired,Own,2,28,21073.34152
186 Sycamore Way,Full-Time,Own,1,27,41783.30347
189 Market Cross Road,Retired,Rent,1,48,20296.64743
91 Aspen Gardens,Full-Time,Rent,2,41,51846.20027
170 Cobbler’s Alley,Full-Time,Rent,3,51,59917.83391
25 Cedar Crescent,Full-Time,Own,1,49,58173.48968
6 Chancellor Road,Unemployed,Rent,6,44,9843.90548
66 Market Lane,Full-Time,Own,2,54,46377.6373
14 Aspen Gardens,Part-Time,Own,6,30,32799.13625
35 Castle View,Full-Time,Rent,1,31,46705.8522
123 Heritage Close,Retired,Own,2,51,20347.29423
162 The Old Yard,Full-Time,Own,3,29,50347.00491
56 Chestnut Mews,Full-Time,Rent,2,50,46414.15677
124 Sycamore Way,Full-Time,Own,1,35,40884.76542
111 Blossom Rise,Part-Time,Own,2,47,33116.57437
131 Chestnut Mews,Full-Time,Own,3,27,51462.80776
172 Old Forge Lane,Full-Time,Own,2,39,46979.70619
133 Faculty Court,Unemployed,Rent,5,49,9667.17711
12 Faculty Court,Full-Time,Own,6,40,41564.81151
94 Oak Lane,Full-Time,Own,1,56,42471.70635
131 Varsity Place,Full-Time,Own,6,50,48381.45525
75 Maple Drive,Full-Time,Rent,2,29,43025.71335
90 Academic Crescent,Full-Time,Rent,5,34,43799.39712
140 Friar’s Court,Full-Time,Rent,5,57,50479.94933
102 Alumni Grove,Part-Time,Own,4,52,30690.41403
81 Crown Street,Full-Time,Own,2,40,49790.56132
120 Aspen Gardens,Full-Time,Own,4,26,41459.03512
155 Campus Avenue,Retired,Rent,2,53,20798.39295
126 Freshers Row,Full-Time,Own,6,26,44113.61036
15 Grand Arcade,Full-Time,Own,6,46,57520.26119
44 The Old Yard,Full-Time,Own,3,35,42230.99386
197 Scholar’s Walk,Unemployed,Rent,2,59,10888.57335
49 Town Gate,Full-Time,Own,4,56,56387.72604
35 Horizon Close,Retired,Own,1,29,21049.63489
2 Merchant Street,Full-Time,Rent,6,51,51933.99134
180 Castle View,Full-Time,Rent,6,36,55381.72445
114 Varsity Place,Full-Time,Own,3,32,56063.79363
40 Merchant Street,Full-Time,Own,4,27,40579.98815
177 Cathedral Row,Full-Time,Own,2,56,50703.96747
103 Castle Lane,Part-Time,Own,1,46,26236.4307
66 College Crescent,Part-Time,Own,3,52,34671.66229
124 Station Road,Full-Time,Rent,5,50,49296.84017
185 Academic Crescent,Unemployed,Rent,4,45,9662.932238
172 Study Mews,Unemployed,Rent,3,35,8827.221221
32 Queen Avenue,Full-Time,Rent,5,51,43924.3575
171 College Road,Full-Time,Own,6,31,59824.92309
23 Professor’s Close,Full-Time,Own,2,33,41352.63136
185 Blossom Rise,Full-Time,Rent,6,58,40841.32986
185 Mill Street,Part-Time,Rent,2,50,27190.92905
44 Albert Walk,Full-Time,Rent,5,30,47330.45907
84 Dean’s View,Part-Time,Own,3,36,28658.70833
46 Ivy Boulevard,Part-Time,Own,4,25,26301.03708
53 Poppy Crescent,Full-Time,Own,2,59,58782.04757
53 Friar’s Court,Full-Time,Rent,2,28,58042.4419
25 Town Gate,Part-Time,Own,3,32,29967.14382
115 Dean’s View,Full-Time,Rent,6,26,55072.45348
178 Alumni Grove,Unemployed,Rent,2,36,8899.073473
16 Manor Row,Full-Time,Own,1,32,57096.28041
122 Station Road,Part-Time,Own,5,55,28943.16837
167 Silverleaf Way,Retired,Own,2,45,21335.34537
184 Blossom Rise,Full-Time,Own,1,55,55861.99743
136 The Old Yard,Full-Time,Own,2,56,49614.81579
57 Dahlia Court,Full-Time,Rent,2,44,52141.00863
57 Magnolia Row,Full-Time,Own,1,43,58332.64835
110 College Road,Unemployed,Rent,2,54,10289.32489
141 Blossom Rise,Full-Time,Rent,5,33,45323.64953
52 Butcher’s Row,Full-Time,Rent,2,44,46858.31778
30 Graduation Way,Part-Time,Rent,4,42,34277.22388
185 Dahlia Court,Full-Time,Own,5,37,56258.70681
133 Blossom Rise,Part-Time,Own,3,54,32875.43831
22 Academic Crescent,Full-Time,Own,5,53,42578.93383
126 Study Mews,Full-Time,Own,3,54,43886.70767
74 Primrose Avenue,Full-Time,Own,3,29,54059.78443
46 Bridge Street,Full-Time,Rent,5,28,45561.28295
42 Dean’s View,Unemployed,Rent,4,55,10845.37829
93 Poppy Crescent,Full-Time,Rent,2,57,53869.0649
197 Primrose Avenue,Full-Time,Rent,6,25,51772.61314
142 Study Mews,Full-Time,Rent,5,43,59766.50789
179 Dean’s View,Full-Time,Own,3,39,57488.50492
16 Rosehip Road,Part-Time,Rent,5,26,25447.69951
53 Rosehip Road,Full-Time,Own,3,28,54666.27138
146 Sycamore Way,Full-Time,Rent,3,27,56971.97443
88 Juniper Walk,Full-Time,Own,1,47,57438.49286
89 Victoria Parade,Full-Time,Rent,6,30,50285.75312
7 Exam Square,Full-Time,Own,4,54,57152.48188
105 The Green,Part-Time,Rent,6,47,34252.31778
148 Varsity Place,Unemployed,Rent,4,39,10215.74203
121 Poppy Crescent,Full-Time,Own,6,41,50823.75881
33 Blossom Rise,Full-Time,Own,3,33,52305.33084
34 Dean’s View,Unemployed,Rent,3,26,8629.00737
133 Dean’s View,Full-Time,Own,2,53,54778.06133
91 Freshers Row,Full-Time,Rent,3,55,57807.94474
50 Willow Heights,Full-Time,Own,3,56,51199.78303
9 Sycamore Way,Part-Time,Own,6,25,32842.14136
45 Lab Street,Full-Time,Own,4,54,50446.08703
15 School House Lane,Full-Time,Rent,3,52,51238.52453
66 Silverleaf Way,Part-Time,Own,2,50,30924.88199
107 School House Lane,Full-Time,Own,1,42,45112.62478
27 Pillory Hill,Part-Time,Rent,1,25,33183.83134
142 Academic Crescent,Part-Time,Rent,6,43,29002.22021
20 Bluebell View,Full-Time,Own,2,59,41198.77685
51 Victoria Parade,Full-Time,Own,6,57,49694.28558
72 Scholar’s Walk,Full-Time,Own,3,32,42486.19526
188 Research Boulevard,Unemployed,Rent,2,51,11196.89019
155 Castle Lane,Part-Time,Rent,1,32,26057.62122
134 Varsity Place,Unemployed,Rent,6,56,11611.99417
121 Old Forge Lane,Retired,Own,1,43,28882.95437
22 Dean’s View,Unemployed,Rent,3,54,11553.48161
42 Abbey Lane,Part-Time,Own,6,34,27803.1711
93 Juniper Walk,Part-Time,Own,6,40,27803.47498
131 Scholar’s Walk,Full-Time,Rent,5,27,47244.23654
120 Scholar’s Walk,Retired,Rent,1,46,28807.73012
23 Varsity Place,Full-Time,Rent,5,46,47628.37425
183 Chancellor Road,Full-Time,Rent,4,45,51322.11253
96 Alumni Grove,Full-Time,Rent,5,54,59422.22794
155 Research Boulevard,Unemployed,Rent,5,51,10792.83793
